时间戳,时间,分组ID,分组标签,测试标签_值,测试标签_十六进制,随便什么_值,随便什么_十六进制
1749106900878,"2025-06-05 15:01:40",1,"1","51","33","304296755","12233333"
1749106900878,"2025-06-05 15:01:40",2,"2","51","33"
1749106901876,"2025-06-05 15:01:41",1,"1","51","33","304296755","12233333"
1749106901876,"2025-06-05 15:01:41",2,"2","51","33"
1749106902872,"2025-06-05 15:01:42",1,"1","51","33","304296755","12233333"
1749106902872,"2025-06-05 15:01:42",2,"2","51","33"
1749106903880,"2025-06-05 15:01:43",1,"1","51","33","304296755","12233333"
1749106903880,"2025-06-05 15:01:43",2,"2","51","33"
1749106904879,"2025-06-05 15:01:44",1,"1","51","33","304296755","12233333"
1749106904879,"2025-06-05 15:01:44",2,"2","51","33"
1749106905882,"2025-06-05 15:01:45",1,"1","51","33","304296755","12233333"
1749106905882,"2025-06-05 15:01:45",2,"2","51","33"
1749106906880,"2025-06-05 15:01:46",1,"1","51","33","304296755","12233333"
1749106906880,"2025-06-05 15:01:46",2,"2","51","33"
1749106907880,"2025-06-05 15:01:47",1,"1","51","33","304296755","12233333"
1749106907880,"2025-06-05 15:01:47",2,"2","51","33"
1749106908882,"2025-06-05 15:01:48",1,"1","51","33","304296755","12233333"
1749106908882,"2025-06-05 15:01:48",2,"2","51","33"
1749106909883,"2025-06-05 15:01:49",1,"1","51","33","304296755","12233333"
1749106909883,"2025-06-05 15:01:49",2,"2","51","33"
1749106910880,"2025-06-05 15:01:50",1,"1","51","33","304296755","12233333"
1749106910880,"2025-06-05 15:01:50",2,"2","51","33"
1749106911879,"2025-06-05 15:01:51",1,"1","51","33","304296755","12233333"
1749106911879,"2025-06-05 15:01:51",2,"2","51","33"
1749106912876,"2025-06-05 15:01:52",1,"1","51","33","304296755","12233333"
1749106912876,"2025-06-05 15:01:52",2,"2","51","33"
1749106913874,"2025-06-05 15:01:53",1,"1","51","33","304296755","12233333"
1749106913874,"2025-06-05 15:01:53",2,"2","51","33"
1749106922280,"2025-06-05 15:02:02",1,"1","51","33","304296755","12233333"
1749106922280,"2025-06-05 15:02:02",2,"2","51","33"
1749106922872,"2025-06-05 15:02:02",1,"1","51","33","304296755","12233333"
1749106922872,"2025-06-05 15:02:02",2,"2","51","33"
1749106923872,"2025-06-05 15:02:03",1,"1","51","33","304296755","12233333"
1749106923872,"2025-06-05 15:02:03",2,"2","51","33"
1749106924870,"2025-06-05 15:02:04",1,"1","51","33","304296755","12233333"
1749106924870,"2025-06-05 15:02:04",2,"2","51","33"
1749106925874,"2025-06-05 15:02:05",1,"1","51","33","304296755","12233333"
1749106925874,"2025-06-05 15:02:05",2,"2","51","33"
1749106926872,"2025-06-05 15:02:06",1,"1","51","33","304296755","12233333"
1749106926872,"2025-06-05 15:02:06",2,"2","51","33"
1749106927874,"2025-06-05 15:02:07",1,"1","51","33","304296755","12233333"
1749106927874,"2025-06-05 15:02:07",2,"2","51","33"
1749106928872,"2025-06-05 15:02:08",1,"1","51","33","304296755","12233333"
1749106928872,"2025-06-05 15:02:08",2,"2","51","33"
1749106929874,"2025-06-05 15:02:09",1,"1","51","33","304296755","12233333"
1749106929874,"2025-06-05 15:02:09",2,"2","51","33"
1749106930874,"2025-06-05 15:02:10",1,"1","51","33","304296755","12233333"
1749106930874,"2025-06-05 15:02:10",2,"2","51","33"
1749106931870,"2025-06-05 15:02:11",1,"1","51","33","304296755","12233333"
1749106931870,"2025-06-05 15:02:11",2,"2","51","33"
1749106932874,"2025-06-05 15:02:12",1,"1","51","33","304296755","12233333"
1749106932874,"2025-06-05 15:02:12",2,"2","51","33"
1749106933874,"2025-06-05 15:02:13",1,"1","51","33","304296755","12233333"
