时间戳,时间,分组ID,分组标签,有效bit数_值,有效bit数_十六进制,误码bit数_值,误码bit数_十六进制,接收包计数_值,接收包计数_十六进制,错误包计数_值,错误包计数_十六进制,有效bit数_值,有效bit数_十六进制,误码bit数_值,误码bit数_十六进制,接收包计数_值,接收包计数_十六进制,错误包计数_值,错误包计数_十六进制,新字段_值,新字段_十六进制
1750128408745,"2025-06-17 10:46:48",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128408745,"2025-06-17 10:46:48",2,"测试分组","-","00","-","00","-","00","-","00"
1750128409749,"2025-06-17 10:46:49",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128409749,"2025-06-17 10:46:49",2,"测试分组","-","00","-","00","-","00","-","00"
1750128410746,"2025-06-17 10:46:50",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128410746,"2025-06-17 10:46:50",2,"测试分组","-","00","-","00","-","00","-","00"
1750128411746,"2025-06-17 10:46:51",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128411746,"2025-06-17 10:46:51",2,"测试分组","-","00","-","00","-","00","-","00"
1750128412747,"2025-06-17 10:46:52",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128412747,"2025-06-17 10:46:52",2,"测试分组","-","00","-","00","-","00","-","00"
1750128413745,"2025-06-17 10:46:53",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128413745,"2025-06-17 10:46:53",2,"测试分组","-","00","-","00","-","00","-","00"
1750128414746,"2025-06-17 10:46:54",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128414746,"2025-06-17 10:46:54",2,"测试分组","-","00","-","00","-","00","-","00"
1750128415745,"2025-06-17 10:46:55",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128415745,"2025-06-17 10:46:55",2,"测试分组","-","00","-","00","-","00","-","00"
1750128416746,"2025-06-17 10:46:56",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128416746,"2025-06-17 10:46:56",2,"测试分组","-","00","-","00","-","00","-","00"
1750128417749,"2025-06-17 10:46:57",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128417749,"2025-06-17 10:46:57",2,"测试分组","16","00000010","286331153","11111111","286331153","11111111","数据不足","00"
1750128418746,"2025-06-17 10:46:58",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128418746,"2025-06-17 10:46:58",2,"测试分组","16","00000010","286331153","11111111","286331153","11111111","数据不足","00"
1750128419750,"2025-06-17 10:46:59",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128419750,"2025-06-17 10:46:59",2,"测试分组","16","00000010","286331153","11111111","286331153","11111111","数据不足","00"
1750128420750,"2025-06-17 10:47:00",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128420750,"2025-06-17 10:47:00",2,"测试分组","16","00000010","286331153","11111111","286331153","11111111","数据不足","00"
1750128421746,"2025-06-17 10:47:01",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128421746,"2025-06-17 10:47:01",2,"测试分组","16","00000010","286331153","11111111","286331153","11111111","数据不足","00"
1750128422759,"2025-06-17 10:47:02",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128422759,"2025-06-17 10:47:02",2,"测试分组","16","00000010","286331153","11111111","286331153","11111111","数据不足","00"
1750128423757,"2025-06-17 10:47:03",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128423757,"2025-06-17 10:47:03",2,"测试分组","16","00000010","286331153","11111111","286331153","11111111","数据不足","00"
1750128424748,"2025-06-17 10:47:04",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128424748,"2025-06-17 10:47:04",2,"测试分组","16","00000010","286331153","11111111","286331153","11111111","数据不足","00"
1750128425755,"2025-06-17 10:47:05",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
1750128425755,"2025-06-17 10:47:05",2,"测试分组","16","00000010","286331153","11111111","286331153","11111111","数据不足","00"
1750128426745,"2025-06-17 10:47:06",1,"1","16","00000010","286331153","11111111","286331153","11111111","数据不足","00","69905","00011111","286331153","11111111","286331137","11111101","数据不足","00","-","00"
